,B1F1,B1GSM(X),B1GSM(Y),B1GSM(Z),B1RTN(X),B1RTN(Y),B1RTN(Z)
9875,7.142828559875466,-4.763163757324016,5.320046424865875,-0.08501107059401336,4.754345798492229,-5.292635822296312,-0.6181064724920564
9876,7.219895267486485,-3.2117215633392817,6.15428285598729,-1.9809034824375498,3.20358338356023,-5.928157329559027,-2.590045833588034
9877,7.37872314453125,-3.8167436122894287,5.821643829345703,-2.4456822872161865,3.809669017791748,-5.5513105392456055,-3.018245220184326
9878,7.142405033111598,-2.7019735813141783,6.137467575073045,-2.456597757339941,2.6943850517273873,-5.862438297271486,-3.0620500564579607
9879,7.282412910461462,-2.7525783061982496,6.371220397949121,-2.201056289673086,2.744319295883309,-6.1209230422972425,-2.831394386291727
9880,6.8240300178528654,-1.8253681898113956,6.360476875305417,-1.6556024789807675,1.816532921790765,-6.163738822937277,-2.2884905338285106
9881,6.7433057785032355,-2.684925365448071,6.155713939666506,-0.601115214824784,2.675278329849317,-6.068160152435051,-1.217904925346457
9882,7.068151950836182,-2.6091392040252686,6.566172122955322,-0.17429593205451965,2.598339080810547,-6.519531726837158,-0.8348279595375061
9883,7.062124633788743,-3.2736062526700764,6.252147197723135,0.24553029537214086,3.262871456146029,-6.250739002227544,-0.3847846925257073
9884,6.918309974670382,-4.053989315032928,5.58947525024413,0.4241501808166316,4.044166660308807,-5.610905647277819,-0.1393602430820641
9885,6.8585386276245535,-2.6405399799349327,6.283350276947027,0.7287484049791477,2.629226255417111,-6.329508399963328,0.09224338233415369
9886,6.8215721130370515,-1.808100295066687,6.577045917510967,-0.014784006029271872,1.7971099853514159,-6.5450587272643945,-0.6779233813284858
